,Season,Links2122,Links1819,Links1718
91,www.premierleague.com/match/75209,www.premierleague.com/match/66648,www.premierleague.com/match/38595,www.premierleague.com/match/22622
92,www.premierleague.com/match/75210,www.premierleague.com/match/66634,www.premierleague.com/match/38592,www.premierleague.com/match/22627
93,www.premierleague.com/match/75208,www.premierleague.com/match/66639,www.premierleague.com/match/38591,www.premierleague.com/match/22623
94,www.premierleague.com/match/75157,www.premierleague.com/match/66632,www.premierleague.com/match/38588,www.premierleague.com/match/22625
95,www.premierleague.com/match/74980,www.premierleague.com/match/66641,www.premierleague.com/match/38589,www.premierleague.com/match/22628
96,www.premierleague.com/match/74972,www.premierleague.com/match/66536,www.premierleague.com/match/38590,www.premierleague.com/match/22629
97,www.premierleague.com/match/74975,www.premierleague.com/match/66494,www.premierleague.com/match/38593,www.premierleague.com/match/22630
98,www.premierleague.com/match/74976,www.premierleague.com/match/66602,www.premierleague.com/match/38597,www.premierleague.com/match/22631
99,www.premierleague.com/match/74984,www.premierleague.com/match/66626,www.premierleague.com/match/38596,www.premierleague.com/match/22626
100,www.premierleague.com/match/75196,www.premierleague.com/match/66625,www.premierleague.com/match/38594,www.premierleague.com/match/22612
101,www.premierleague.com/match/75200,www.premierleague.com/match/66627,www.premierleague.com/match/38578,www.premierleague.com/match/22616
102,www.premierleague.com/match/75198,www.premierleague.com/match/66628,www.premierleague.com/match/38587,www.premierleague.com/match/22619
103,www.premierleague.com/match/75197,www.premierleague.com/match/66630,www.premierleague.com/match/38583,www.premierleague.com/match/22617
104,www.premierleague.com/match/75191,www.premierleague.com/match/66631,www.premierleague.com/match/38580,www.premierleague.com/match/22613
105,www.premierleague.com/match/75192,www.premierleague.com/match/66622,www.premierleague.com/match/38584,www.premierleague.com/match/22614
106,www.premierleague.com/match/75193,www.premierleague.com/match/66624,www.premierleague.com/match/38585,www.premierleague.com/match/22615
107,www.premierleague.com/match/75195,www.premierleague.com/match/66623,www.premierleague.com/match/38579,www.premierleague.com/match/22618
108,www.premierleague.com/match/75199,www.premierleague.com/match/66629,www.premierleague.com/match/38581,www.premierleague.com/match/22621
109,www.premierleague.com/match/75194,www.premierleague.com/match/66638,www.premierleague.com/match/38582,www.premierleague.com/match/22620
110,www.premierleague.com/match/75181,www.premierleague.com/match/66550,www.premierleague.com/match/38586,www.premierleague.com/match/22602
111,www.premierleague.com/match/75182,www.premierleague.com/match/66531,www.premierleague.com/match/38568,www.premierleague.com/match/22604
112,www.premierleague.com/match/75183,www.premierleague.com/match/66537,www.premierleague.com/match/38575,www.premierleague.com/match/22606
113,www.premierleague.com/match/75189,www.premierleague.com/match/66619,www.premierleague.com/match/38570,www.premierleague.com/match/22607
114,www.premierleague.com/match/75190,www.premierleague.com/match/66620,www.premierleague.com/match/38569,www.premierleague.com/match/22610
115,www.premierleague.com/match/75185,www.premierleague.com/match/66616,www.premierleague.com/match/38576,www.premierleague.com/match/22603
116,www.premierleague.com/match/75188,www.premierleague.com/match/66612,www.premierleague.com/match/38574,www.premierleague.com/match/22608
117,www.premierleague.com/match/74983,www.premierleague.com/match/66613,www.premierleague.com/match/38571,www.premierleague.com/match/22609
118,www.premierleague.com/match/74979,www.premierleague.com/match/66617,www.premierleague.com/match/38577,www.premierleague.com/match/22611
119,www.premierleague.com/match/75178,www.premierleague.com/match/66615,www.premierleague.com/match/38567,www.premierleague.com/match/22605
120,www.premierleague.com/match/75174,www.premierleague.com/match/66614,www.premierleague.com/match/38565,www.premierleague.com/match/22600
121,www.premierleague.com/match/75177,www.premierleague.com/match/66618,www.premierleague.com/match/38563,www.premierleague.com/match/22596
122,www.premierleague.com/match/75180,www.premierleague.com/match/66621,www.premierleague.com/match/38560,www.premierleague.com/match/22598
123,www.premierleague.com/match/75171,www.premierleague.com/match/66554,www.premierleague.com/match/38559,www.premierleague.com/match/22595
124,www.premierleague.com/match/75173,www.premierleague.com/match/66611,www.premierleague.com/match/38561,www.premierleague.com/match/22593
125,www.premierleague.com/match/75175,www.premierleague.com/match/66608,www.premierleague.com/match/38562,www.premierleague.com/match/22594
126,www.premierleague.com/match/75176,www.premierleague.com/match/66603,www.premierleague.com/match/38564,www.premierleague.com/match/22597
127,www.premierleague.com/match/75179,www.premierleague.com/match/66606,www.premierleague.com/match/38566,www.premierleague.com/match/22599
128,www.premierleague.com/match/75172,www.premierleague.com/match/66609,www.premierleague.com/match/38558,www.premierleague.com/match/22601
129,www.premierleague.com/match/75163,www.premierleague.com/match/66604,www.premierleague.com/match/38573,www.premierleague.com/match/22592
130,www.premierleague.com/match/75168,www.premierleague.com/match/66607,www.premierleague.com/match/38557,www.premierleague.com/match/22585
131,www.premierleague.com/match/75166,www.premierleague.com/match/66610,www.premierleague.com/match/38554,www.premierleague.com/match/22586
132,www.premierleague.com/match/75167,www.premierleague.com/match/66532,www.premierleague.com/match/38555,www.premierleague.com/match/22588
133,www.premierleague.com/match/75161,www.premierleague.com/match/66465,www.premierleague.com/match/38556,www.premierleague.com/match/22589
134,www.premierleague.com/match/75162,www.premierleague.com/match/66519,www.premierleague.com/match/38548,www.premierleague.com/match/22587
135,www.premierleague.com/match/75164,www.premierleague.com/match/66525,www.premierleague.com/match/38549,www.premierleague.com/match/22590
136,www.premierleague.com/match/75165,www.premierleague.com/match/66596,www.premierleague.com/match/38551,www.premierleague.com/match/22591
137,www.premierleague.com/match/75170,www.premierleague.com/match/66601,www.premierleague.com/match/38552,www.premierleague.com/match/22583
138,www.premierleague.com/match/75169,www.premierleague.com/match/66592,www.premierleague.com/match/38553,www.premierleague.com/match/22584
139,www.premierleague.com/match/74977,www.premierleague.com/match/66598,www.premierleague.com/match/38550,www.premierleague.com/match/22582
140,www.premierleague.com/match/74971,www.premierleague.com/match/66600,www.premierleague.com/match/38539,www.premierleague.com/match/22580
141,www.premierleague.com/match/75159,www.premierleague.com/match/66593,www.premierleague.com/match/38546,www.premierleague.com/match/22578
142,www.premierleague.com/match/75153,www.premierleague.com/match/66594,www.premierleague.com/match/38544,www.premierleague.com/match/22573
143,www.premierleague.com/match/75155,www.premierleague.com/match/66595,www.premierleague.com/match/38547,www.premierleague.com/match/22572
144,www.premierleague.com/match/75156,www.premierleague.com/match/66597,www.premierleague.com/match/38538,www.premierleague.com/match/22574
145,www.premierleague.com/match/75160,www.premierleague.com/match/66599,www.premierleague.com/match/38540,www.premierleague.com/match/22575
146,www.premierleague.com/match/75151,www.premierleague.com/match/66515,www.premierleague.com/match/38541,www.premierleague.com/match/22576
147,www.premierleague.com/match/75152,www.premierleague.com/match/66583,www.premierleague.com/match/38543,www.premierleague.com/match/22579
148,www.premierleague.com/match/75154,www.premierleague.com/match/66588,www.premierleague.com/match/38542,www.premierleague.com/match/22581
149,www.premierleague.com/match/75146,www.premierleague.com/match/66590,www.premierleague.com/match/38545,www.premierleague.com/match/22577
150,www.premierleague.com/match/75149,www.premierleague.com/match/66586,www.premierleague.com/match/38531,www.premierleague.com/match/22567
151,www.premierleague.com/match/75141,www.premierleague.com/match/66587,www.premierleague.com/match/38530,www.premierleague.com/match/22562
152,www.premierleague.com/match/75142,www.premierleague.com/match/66582,www.premierleague.com/match/38537,www.premierleague.com/match/22566
153,www.premierleague.com/match/75143,www.premierleague.com/match/66585,www.premierleague.com/match/38529,www.premierleague.com/match/22563
154,www.premierleague.com/match/75144,www.premierleague.com/match/66591,www.premierleague.com/match/38532,www.premierleague.com/match/22564
155,www.premierleague.com/match/75145,www.premierleague.com/match/66589,www.premierleague.com/match/38533,www.premierleague.com/match/22565
156,www.premierleague.com/match/75148,www.premierleague.com/match/66578,www.premierleague.com/match/38534,www.premierleague.com/match/22568
157,www.premierleague.com/match/75150,www.premierleague.com/match/66577,www.premierleague.com/match/38535,www.premierleague.com/match/22570
158,www.premierleague.com/match/75147,www.premierleague.com/match/66579,www.premierleague.com/match/38536,www.premierleague.com/match/22571
159,www.premierleague.com/match/75021,www.premierleague.com/match/66572,www.premierleague.com/match/38528,www.premierleague.com/match/22569
160,www.premierleague.com/match/75137,www.premierleague.com/match/66575,www.premierleague.com/match/38525,www.premierleague.com/match/22549
161,www.premierleague.com/match/75135,www.premierleague.com/match/66581,www.premierleague.com/match/38523,www.premierleague.com/match/22552
162,www.premierleague.com/match/75138,www.premierleague.com/match/66580,www.premierleague.com/match/38526,www.premierleague.com/match/22558
163,www.premierleague.com/match/75140,www.premierleague.com/match/66576,www.premierleague.com/match/38527,www.premierleague.com/match/22560
164,www.premierleague.com/match/75131,www.premierleague.com/match/66574,www.premierleague.com/match/38518,www.premierleague.com/match/22561
165,www.premierleague.com/match/75133,www.premierleague.com/match/66505,www.premierleague.com/match/38519,www.premierleague.com/match/22557
166,www.premierleague.com/match/75134,www.premierleague.com/match/66562,www.premierleague.com/match/38520,www.premierleague.com/match/22553
167,www.premierleague.com/match/75136,www.premierleague.com/match/66565,www.premierleague.com/match/38522,www.premierleague.com/match/22554
168,www.premierleague.com/match/75139,www.premierleague.com/match/66568,www.premierleague.com/match/38524,www.premierleague.com/match/22556
169,www.premierleague.com/match/75132,www.premierleague.com/match/66564,www.premierleague.com/match/38521,www.premierleague.com/match/22559
170,www.premierleague.com/match/74986,www.premierleague.com/match/66566,www.premierleague.com/match/38514,www.premierleague.com/match/22555
171,www.premierleague.com/match/75128,www.premierleague.com/match/66563,www.premierleague.com/match/38509,www.premierleague.com/match/22544
172,www.premierleague.com/match/75129,www.premierleague.com/match/66567,www.premierleague.com/match/38511,www.premierleague.com/match/22551
173,www.premierleague.com/match/75125,www.premierleague.com/match/66569,www.premierleague.com/match/38513,www.premierleague.com/match/22542
174,www.premierleague.com/match/75121,www.premierleague.com/match/66570,www.premierleague.com/match/38516,www.premierleague.com/match/22543
175,www.premierleague.com/match/75122,www.premierleague.com/match/66571,www.premierleague.com/match/38517,www.premierleague.com/match/22545
176,www.premierleague.com/match/75123,www.premierleague.com/match/66507,www.premierleague.com/match/38515,www.premierleague.com/match/22546
177,www.premierleague.com/match/75126,www.premierleague.com/match/66503,www.premierleague.com/match/38512,www.premierleague.com/match/22548
178,www.premierleague.com/match/75130,www.premierleague.com/match/66573,www.premierleague.com/match/38508,www.premierleague.com/match/22550
179,www.premierleague.com/match/75127,www.premierleague.com/match/66555,www.premierleague.com/match/38510,www.premierleague.com/match/22547
180,www.premierleague.com/match/75124,www.premierleague.com/match/66560,www.premierleague.com/match/38500,www.premierleague.com/match/22534
181,www.premierleague.com/match/75114,www.premierleague.com/match/66556,www.premierleague.com/match/38499,www.premierleague.com/match/22538
182,www.premierleague.com/match/75115,www.premierleague.com/match/66557,www.premierleague.com/match/38505,www.premierleague.com/match/22539
183,www.premierleague.com/match/75118,www.premierleague.com/match/66558,www.premierleague.com/match/38504,www.premierleague.com/match/22532
184,www.premierleague.com/match/75111,www.premierleague.com/match/66561,www.premierleague.com/match/38498,www.premierleague.com/match/22533
185,www.premierleague.com/match/75117,www.premierleague.com/match/66552,www.premierleague.com/match/38501,www.premierleague.com/match/22535
186,www.premierleague.com/match/75112,www.premierleague.com/match/66553,www.premierleague.com/match/38502,www.premierleague.com/match/22537
187,www.premierleague.com/match/75116,www.premierleague.com/match/66520,www.premierleague.com/match/38506,www.premierleague.com/match/22540
188,www.premierleague.com/match/75119,www.premierleague.com/match/66517,www.premierleague.com/match/38507,www.premierleague.com/match/22541
189,www.premierleague.com/match/75120,www.premierleague.com/match/66549,www.premierleague.com/match/38503,www.premierleague.com/match/22536
190,www.premierleague.com/match/75113,www.premierleague.com/match/66543,www.premierleague.com/match/38495,www.premierleague.com/match/22525
191,www.premierleague.com/match/74978,www.premierleague.com/match/66546,www.premierleague.com/match/38491,www.premierleague.com/match/22523
192,www.premierleague.com/match/74973,www.premierleague.com/match/66547,www.premierleague.com/match/38489,www.premierleague.com/match/22527
193,www.premierleague.com/match/75104,www.premierleague.com/match/66544,www.premierleague.com/match/38490,www.premierleague.com/match/22528
194,www.premierleague.com/match/75107,www.premierleague.com/match/66542,www.premierleague.com/match/38492,www.premierleague.com/match/22529
195,www.premierleague.com/match/75109,www.premierleague.com/match/66551,www.premierleague.com/match/38493,www.premierleague.com/match/22530
196,www.premierleague.com/match/75103,www.premierleague.com/match/66545,www.premierleague.com/match/38494,www.premierleague.com/match/22531
197,www.premierleague.com/match/75105,www.premierleague.com/match/66539,www.premierleague.com/match/38496,www.premierleague.com/match/22524
198,www.premierleague.com/match/75108,www.premierleague.com/match/66534,www.premierleague.com/match/38488,www.premierleague.com/match/22526
199,www.premierleague.com/match/75102,www.premierleague.com/match/66533,www.premierleague.com/match/38497,www.premierleague.com/match/22522
200,www.premierleague.com/match/75106,www.premierleague.com/match/66535,www.premierleague.com/match/38482,www.premierleague.com/match/22516
201,www.premierleague.com/match/75110,www.premierleague.com/match/66540,www.premierleague.com/match/38478,www.premierleague.com/match/22521
202,www.premierleague.com/match/75101,www.premierleague.com/match/66541,www.premierleague.com/match/38479,www.premierleague.com/match/22513
203,www.premierleague.com/match/74974,www.premierleague.com/match/66538,www.premierleague.com/match/38481,www.premierleague.com/match/22517
204,www.premierleague.com/match/75094,www.premierleague.com/match/66527,www.premierleague.com/match/38483,www.premierleague.com/match/22512
205,www.premierleague.com/match/75100,www.premierleague.com/match/66526,www.premierleague.com/match/38484,www.premierleague.com/match/22514
206,www.premierleague.com/match/75097,www.premierleague.com/match/66528,www.premierleague.com/match/38485,www.premierleague.com/match/22515
207,www.premierleague.com/match/75092,www.premierleague.com/match/66529,www.premierleague.com/match/38486,www.premierleague.com/match/22520
208,www.premierleague.com/match/75095,www.premierleague.com/match/66530,www.premierleague.com/match/38480,www.premierleague.com/match/22519
209,www.premierleague.com/match/75091,www.premierleague.com/match/66522,www.premierleague.com/match/38487,www.premierleague.com/match/22518
210,www.premierleague.com/match/75096,www.premierleague.com/match/66523,www.premierleague.com/match/38468,www.premierleague.com/match/22509
211,www.premierleague.com/match/75098,www.premierleague.com/match/66516,www.premierleague.com/match/38474,www.premierleague.com/match/22510
212,www.premierleague.com/match/75099,www.premierleague.com/match/66521,www.premierleague.com/match/38472,www.premierleague.com/match/22506
213,www.premierleague.com/match/75093,www.premierleague.com/match/66518,www.premierleague.com/match/38473,www.premierleague.com/match/22508
214,www.premierleague.com/match/75088,www.premierleague.com/match/66514,www.premierleague.com/match/38469,www.premierleague.com/match/22505
215,www.premierleague.com/match/75087,www.premierleague.com/match/66509,www.premierleague.com/match/38471,www.premierleague.com/match/22511
216,www.premierleague.com/match/75081,www.premierleague.com/match/66510,www.premierleague.com/match/38475,www.premierleague.com/match/22507
217,www.premierleague.com/match/75083,www.premierleague.com/match/66504,www.premierleague.com/match/38476,www.premierleague.com/match/22502
218,www.premierleague.com/match/75085,www.premierleague.com/match/66506,www.premierleague.com/match/38477,www.premierleague.com/match/22503
219,www.premierleague.com/match/75082,www.premierleague.com/match/66502,www.premierleague.com/match/38470,www.premierleague.com/match/22504
220,www.premierleague.com/match/75090,www.premierleague.com/match/66508,www.premierleague.com/match/38463,www.premierleague.com/match/22498
221,www.premierleague.com/match/75086,www.premierleague.com/match/66511,www.premierleague.com/match/38466,www.premierleague.com/match/22495
222,www.premierleague.com/match/75089,www.premierleague.com/match/66495,www.premierleague.com/match/38459,www.premierleague.com/match/22496
223,www.premierleague.com/match/75084,www.premierleague.com/match/66498,www.premierleague.com/match/38458,www.premierleague.com/match/22501
224,www.premierleague.com/match/75077,www.premierleague.com/match/66497,www.premierleague.com/match/38460,www.premierleague.com/match/22492
225,www.premierleague.com/match/75074,www.premierleague.com/match/66500,www.premierleague.com/match/38461,www.premierleague.com/match/22493
226,www.premierleague.com/match/75079,www.premierleague.com/match/66492,www.premierleague.com/match/38465,www.premierleague.com/match/22494
227,www.premierleague.com/match/75073,www.premierleague.com/match/66496,www.premierleague.com/match/38467,www.premierleague.com/match/22499
228,www.premierleague.com/match/75075,www.premierleague.com/match/66499,www.premierleague.com/match/38462,www.premierleague.com/match/22500
229,www.premierleague.com/match/75076,www.premierleague.com/match/66501,www.premierleague.com/match/38464,www.premierleague.com/match/22497
230,www.premierleague.com/match/75078,www.premierleague.com/match/66493,www.premierleague.com/match/38450,www.premierleague.com/match/22483
231,www.premierleague.com/match/75080,www.premierleague.com/match/66483,www.premierleague.com/match/38456,www.premierleague.com/match/22488
232,www.premierleague.com/match/75072,www.premierleague.com/match/66484,www.premierleague.com/match/38451,www.premierleague.com/match/22485
233,www.premierleague.com/match/75071,www.premierleague.com/match/66485,www.premierleague.com/match/38455,www.premierleague.com/match/22484
234,www.premierleague.com/match/75062,www.premierleague.com/match/66488,www.premierleague.com/match/38452,www.premierleague.com/match/22486
235,www.premierleague.com/match/75063,www.premierleague.com/match/66482,www.premierleague.com/match/38457,www.premierleague.com/match/22487
236,www.premierleague.com/match/75061,www.premierleague.com/match/66486,www.premierleague.com/match/38448,www.premierleague.com/match/22489
237,www.premierleague.com/match/75064,www.premierleague.com/match/66487,www.premierleague.com/match/38449,www.premierleague.com/match/22490
238,www.premierleague.com/match/75066,www.premierleague.com/match/66491,www.premierleague.com/match/38454,www.premierleague.com/match/22491
239,www.premierleague.com/match/75070,www.premierleague.com/match/66489,www.premierleague.com/match/38453,www.premierleague.com/match/22482
