,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
122,3,1,Leicester City,Liverpool,"<strong class=""matchTeamFormation"" data-team-id=""26"">4-4-1-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>",Kasper Schmeichel,Robert Huth,Danny Simpson,Christian Fuchs,Wes Morgan,Wilfred Ndidi,Riyad Mahrez,Marc Albrighton,Danny Drinkwater,Jamie Vardy,Shinji Okazaki,Ron-Robert Zieler,Daniel Amartey,Ben Chilwell,Andy King,Demarai Gray,Leonardo Ulloa,Islam Slimani,Simon Mignolet,James Milner,Lucas Leiva,Nathaniel Clyne,Joël Matip,Adam Lallana,Emre Can,Georginio Wijnaldum,Philippe Coutinho,Sadio Mané,Roberto Firmino,Loris Karius,Ragnar Klavan,Alberto Moreno,Trent Alexander-Arnold,Kevin Stewart,Divock Origi,Ben Woodburn,Matchweek 26,-19,24,21,49
123,4,0,Tottenham Hotspur,Stoke City,"<strong class=""matchTeamFormation"" data-team-id=""21"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""42"">4-2-3-1</strong>",Hugo Lloris,Jan Vertonghen,Toby Alderweireld,Eric Dier,Kyle Walker,Ben Davies,Mousa Dembélé,Victor Wanyama,Dele Alli,Harry Kane,Christian Eriksen,Michel Vorm,Kieran Trippier,Kevin Wimmer,Harry Winks,Moussa Sissoko,Vincent Janssen,Son Heung-Min,Lee Grant,Erik Pieters,Ryan Shawcross,Bruno Martins Indi,Phil Bardsley,Glenn Whelan,Marko Arnautovic,Charlie Adam,Joe Allen,Ramadan Sobhi,Peter Crouch,Shay Given,Muniesa,Geoff Cameron,Ibrahim Afellay,Giannelli Imbula,Saido Berahino,Mame Diouf,Matchweek 26,28,-6,50,32
124,3,1,Chelsea,Swansea City,"<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""45"">4-3-3</strong>",Thibaut Courtois,César Azpilicueta,Gary Cahill,David Luiz,Cesc Fàbregas,N'Golo Kanté,Marcos Alonso,Victor Moses,Eden Hazard,Pedro,Diego Costa,Asmir Begovic,Kurt Zouma,John Terry,Ruben Loftus-Cheek,Nemanja Matic,Michy Batshuayi,Willian,Lukasz Fabianski,Alfie Mawson,Kyle Naughton,Federico Fernández,Martin Olsson,Tom Carroll,Jack Cork,Leroy Fer,Fernando Llorente,Wayne Routledge,Gylfi Sigurdsson,Kristoffer Nordfeldt,Angel Rangel,Jordi Amat,Leon Britton,Luciano Narsingh,Borja Bastón,Jordan Ayew,Matchweek 26,34,-23,60,24
125,1,0,Crystal Palace,Middlesbrough,"<strong class=""matchTeamFormation"" data-team-id=""6"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""13"">5-3-2</strong>",Wayne Hennessey,James Tomkins,Mamadou Sakho,Joel Ward,Patrick van Aanholt,Yohan Cabaye,Wilfried Zaha,Luka Milivojevic,Andros Townsend,Jason Puncheon,Christian Benteke,Julian Speroni,Damien Delaney,Scott Dann,Jeffrey Schlupp,James McArthur,Sullay Kaikai,Fraizer Campbell,Víctor Valdés,Daniel Ayala,Fábio,Ben Gibson,Stewart Downing,Bernardo Espinosa,Adam Forshaw,Marten de Roon,Gastón Ramírez,Álvaro Negredo,Cristhian Stuani,Brad Guzan,Dael Fry,Adam Clayton,Grant Leadbitter,Adama Traoré,Adlène Guédioura,Rudy Gestede,Matchweek 26,-14,-8,19,22
126,2,0,Everton,Sunderland,"<strong class=""matchTeamFormation"" data-team-id=""7"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""29"">4-5-1</strong>",Joel Robles,Ashley Williams,Ramiro Funes Mori,Séamus Coleman,Leighton Baines,Tom Davies,Morgan Schneiderlin,Idrissa Gueye,Ademola Lookman,Romelu Lukaku,Ross Barkley,Maarten Stekelenburg,Mason Holgate,Phil Jagielka,Kevin Mirallas,Gareth Barry,James McCarthy,Enner Valencia,Jordan Pickford,Lamine Koné,John O'Shea,Billy Jones,Bryan Oviedo,Sebastian Larsson,Fabio Borini,Adnan Januzaj,Didier Ndong,Darron Gibson,Jermain Defoe,Mika,Joleon Lescott,Donald Love,Javier Manquillo,Wahbi Khazri,George Honeyman,Lynden Gooch,Matchweek 26,13,-22,41,19
127,1,1,Hull City,Burnley,"<strong class=""matchTeamFormation"" data-team-id=""41"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""43"">4-4-2</strong>",Eldin Jakupovic,Andy Robertson,Andrea Ranocchia,Omar Elabdellaoui,Harry Maguire,Shaun Maloney,Ahmed El Mohamady,Alfred N'Diaye,Tom Huddlestone,Kamil Grosicki,Dieumerci Mbokani,David Marshall,Josh Tymon,David Meyler,Abel Hernández,Oumar Niasse,Jarrod Bowen,Adama Diomande,Tom Heaton,Stephen Ward,Ben Mee,Michael Keane,Matthew Lowton,Robert Brady,George Boyd,Ashley Westwood,Joey Barton,Andre Gray,Ashley Barnes,Paul Robinson,Tendayi Darikwa,Jon Flanagan,James Tarkowski,Scott Arfield,Sam Vokes,Daniel Agyei,Matchweek 26,-27,-9,20,30
128,2,1,West Bromwich Albion,Bournemouth,"<strong class=""matchTeamFormation"" data-team-id=""36"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""127"">4-2-3-1</strong>",Ben Foster,Gareth McAuley,Allan Nyom,Craig Dawson,Jonny Evans,Darren Fletcher,James Morrison,Jake Livermore,Chris Brunt,Nacer Chadli,Salomón Rondón,Boaz Myhill,Jonas Olsson,Sam Field,Jonathan Leko,James McClean,Claudio Yacob,Hal Robson-Kanu,Artur Boruc,Tyrone Mings,Charlie Daniels,Steve Cook,Adam Smith,Andrew Surman,Marc Pugh,Jack Wilshere,Harry Arter,Ryan Fraser,Joshua King,Ryan Allsop,Brad Smith,Junior Stanislas,Dan Gosling,Max-Alain Gradel,Benik Afobe,Lys Mousset,Matchweek 26,3,-14,37,26
129,1,1,Watford,West Ham United,"<strong class=""matchTeamFormation"" data-team-id=""33"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""25"">4-2-3-1</strong>",Heurelho Gomes,Younes Kaboul,Daryl Janmaat,Miguel Britos,José Holebas,Tom Cleverley,Étienne Capoue,Valon Behrami,Mauro Zárate,Troy Deeney,M'Baye Niang,Giedrius Arlauskis,Craig Cathcart,Sebastian Prödl,Juan Camilo Zuñiga,Abdoulaye Doucouré,Stefano Okaka,Isaac Success,Darren Randolph,Aaron Cresswell,José Fonte,Winston Reid,Cheikhou Kouyaté,Manuel Lanzini,Robert Snodgrass,Pedro Obiang,Mark Noble,Sofiane Feghouli,Michail Antonio,Adrián,Sam Byram,James Collins,Arthur Masuaku,Edimilson Fernandes,André Ayew,Jonathan Calleri,Matchweek 26,-13,-9,30,32
130,0,2,Bournemouth,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""127"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-3-3</strong>",Artur Boruc,Charlie Daniels,Simon Francis,Adam Smith,Steve Cook,Jack Wilshere,Jordon Ibe,Harry Arter,Andrew Surman,Ryan Fraser,Joshua King,Ryan Allsop,Brad Smith,Tyrone Mings,Junior Stanislas,Dan Gosling,Marc Pugh,Benik Afobe,Willy Caballero,Fernandinho,John Stones,Aleksandar Kolarov,Bacary Sagna,Yaya Touré,David Silva,Kevin De Bruyne,Gabriel Jesus,Raheem Sterling,Leroy Sané,Claudio Bravo,Nicolás Otamendi,Vincent Kompany,Fabian Delph,Fernando,Sergio Agüero,Nolito,Matchweek 25,-12,20,26,49
131,1,1,Burnley,Chelsea,"<strong class=""matchTeamFormation"" data-team-id=""43"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-3</strong>",Tom Heaton,Stephen Ward,Michael Keane,Ben Mee,Matthew Lowton,George Boyd,Robert Brady,Ashley Westwood,Joey Barton,Andre Gray,Ashley Barnes,Paul Robinson,Jon Flanagan,Tendayi Darikwa,James Tarkowski,Jóhann Gudmundsson,Scott Arfield,Sam Vokes,Thibaut Courtois,César Azpilicueta,Gary Cahill,David Luiz,Nemanja Matic,Victor Moses,Marcos Alonso,N'Golo Kanté,Pedro,Diego Costa,Eden Hazard,Asmir Begovic,Kurt Zouma,Nathan Aké,Cesc Fàbregas,Nathaniel Chalobah,Willian,Michy Batshuayi,Matchweek 25,-9,34,29,59
